id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
117,勇敢的心,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg,美国,1995, 梅尔·吉布森 Mel Gibson, 梅尔·吉布森 Mel Gibson,8.9,史诗大片的典范。,动作/传记/剧情/历史/战争,
118,菊次郎的夏天,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg,日本,1999, 北野武 Takeshi Kitano, 北野武 Takeshi Kitano,8.9,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,剧情/喜剧,
119,未麻的部屋,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,日本,1997, 今敏 Satoshi Kon, 岩男润子 Junko Iwao,9.1,好的剧本是，就算你猜到了结局也猜不到全部。,剧情/犯罪/动画/悬疑/惊悚,
120,借东西的小人阿莉埃蒂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,日本,2010, 米林宏昌 Hiromasa Yonebayashi, 志田未来 Mirai Shida,8.9,曾经的那段美好会沉淀为一辈子的记忆。,动画/奇幻/冒险,
121,哈利·波特与火焰杯,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456904.jpg,英国 美国,2005, 迈克·内威尔 Mike Newell, 丹尼尔·雷德克里夫 Daniel Radclif...,8.8,,悬疑/奇幻/冒险,
122,消失的爱人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,美国,2014, 大卫·芬奇 David Fincher, 本·阿弗莱克 Ben Affleck,8.7,年度最佳date movie。,剧情/犯罪/悬疑/惊悚,
123,茶馆,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528965424.jpg,中国大陆,1982(中国大陆), 谢添 Tian Xie, 于是之 Shizhi Yu,9.6,,剧情/历史,
124,时空恋旅人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg,英国 美国,2013, 理查德·柯蒂斯 Richard Curtis, 多姆纳尔·格里森 Domhnall Gl...,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,喜剧/爱情/奇幻,
125,无人知晓,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,日本,2004, 是枝裕和 Hirokazu Koreeda, 柳乐优弥 Yûya Yagira,9.1,我的平常生活就是他人的幸福。,剧情,
126,倩女幽魂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,中国香港,1987, 程小东 Siu-Tung Ching, 张国荣 Leslie Cheung,8.8,两张绝世的脸。 ,爱情/奇幻/武侠/古装,
